n_components,compression_ratio,accuracy,f1,nmse_test,ISR
50,1.0,0.8613333333333333,0.8633377135348226,2.246468056370921e-30,1.0
40,0.8,0.8613333333333333,0.8633377135348226,2.2279961373160224e-30,1.0
30,0.6,0.8106666666666666,0.8138925294888597,0.10979984945249724,0.8902001505475028
20,0.4,0.7873333333333333,0.7932598833441348,0.3038777187886161,0.6961222812113839
15,0.3,0.782,0.787524366471735,0.40533036578886733,0.5946696342111326
10,0.2,0.7333333333333333,0.7389033942558746,0.5281704437296393,0.4718295562703607
8,0.16,0.736,0.7428571428571429,0.5956824886303197,0.4043175113696803
6,0.12,0.698,0.7021696252465484,0.6681883595101975,0.3318116404898025
4,0.08,0.6926666666666667,0.6932801064537591,0.7520996080068161,0.24790039199318392
3,0.06,0.6913333333333334,0.6907147628590513,0.8076501241331195,0.19234987586688046
2,0.04,0.656,0.6644993498049415,0.8652685949425406,0.1347314050574594
1,0.02,0.6366666666666667,0.6416831032215649,0.9334724138383257,0.06652758616167431
